TREC topic	PMID reference document	PMID to be assessed
100	7866872	7772375
100	7866872	7873174
100	7866872	7873174
100	7866872	8049351
100	7866872	8111026
100	7866872	8528390
100	7866872	9663336
100	7866872	9734829
100	7866872	11088559
100	7866872	11088559
100	7866872	11088559
100	7866872	11142358
100	7866872	11321159
100	7866872	11321159
100	7866872	11473808
100	7866872	11545409
100	7866872	12099377
100	7866872	12112645
100	7866872	12625756
100	7866872	12907953
100	7873174	7873174
100	7873174	8061622
100	7873174	8158003
100	7873174	8202518
100	7873174	9663336
100	7873174	10215040
100	7873174	10649777
100	7873174	11143387
100	7873174	11313815
100	7873174	11321159
100	7873174	11772607
100	7873174	12005886
100	7873174	12147134
100	7873174	12215892
100	7873174	12378637
100	7873174	12625758
100	7873174	12625759
100	7873174	12648161
100	7873174	12915125
100	7873174	12915125
100	8049351	7659501
100	8049351	7873174
100	8049351	9336174
100	8049351	9714890
100	8049351	9724707
100	8049351	9788060
100	8049351	10397753
100	8049351	11249643
100	8049351	11301019
100	8049351	11327801
100	8049351	11440782
100	8049351	11473808
100	8049351	11750982
100	8049351	12099377
100	8049351	12188187
100	8049351	12189529
100	8049351	12189529
100	8049351	12467220
100	8049351	12625758
100	8049351	12625759
100	8158003	7575682
100	8158003	8049351
100	8158003	8108113
100	8158003	9326374
100	8158003	9851051
100	8158003	10066453
100	8158003	10194562
100	8158003	10211543
100	8158003	10211543
100	8158003	10824986
100	8158003	10831279
100	8158003	11088559
100	8158003	11207055
100	8158003	11327800
100	8158003	11327801
100	8158003	11772607
100	8158003	12099377
100	8158003	12194203
100	8158003	12625756
100	8158003	12907953
100	9336174	7840968
100	9336174	8049351
100	9336174	8528391
100	9336174	9336174
100	9336174	9724707
100	9336174	10066453
100	9336174	10194562
100	9336174	10215040
100	9336174	10649777
100	9336174	11159443
100	9336174	11258623
100	9336174	11327801
100	9336174	12194203
100	9336174	12378637
100	9336174	12565999
100	9336174	12625758
100	9336174	12625758
100	9336174	12907953
100	9336174	12915125
100	9336174	14583405
