topic	reference PMID
100	11023903
100	12625758
100	9336174
100	8158003
100	12625759
100	12565999
100	12625756
106	10498903
106	9642275
106	12153140
106	8257695
106	7504954
106	12799440
106	8993035
106	12562764
106	8993033
106	10591994
106	11799066
106	12618455
106	11680700
106	11564866
113	9705497
113	7837983
113	10794173
116	9815941
116	11212254
116	10766344
116	9516080
116	8665514
116	10430101
116	9699666
116	10851068
116	11149601
116	10026153
116	10985759
116	12937141
116	9342439
116	10919668
116	12447687
116	9850076
116	9394418
116	10674396
116	8607861
118	12719626
118	12480736
118	12498970
118	11329064
118	12626500
118	9852574
119	11810042
119	9209662
119	10564681
119	12860276
119	8068041
119	12611461
119	9815734
119	7836799
119	10779639
119	9679567
119	11408954
119	9426059
119	12552971
119	9539246
121	9798686
121	11773071
121	11943588
121	9425226
121	12832489
122	11166179
122	12589682
122	11912492
122	12058019
122	8033083
122	12504226
128	7536844
128	12059965
128	9862934
128	8730588
128	12081656
128	11067972
128	9844003
129	10321980
129	11355893
129	11256746
129	11585785
129	10024886
137	10229198
137	11121124
137	8267620
137	11102895
139	9405108
139	12783789
139	10068631
139	10535317
139	11001832
140	9042909
140	10037104
140	10203660
140	9150153
141	10804212
141	12747895
141	12531510
141	9920660
141	11007884
141	12223539
141	10537061
141	10941183
141	12062094
141	10958656
141	12700167
145	11442359
145	12056812
145	12797957
